10001,62670.00,1125.00,900.00,100.00
10002,42975.00,1125.00,644.63,100.00
10003,42975.00,1125.00,644.63,100.00
10004,60825.00,1125.00,900.00,100.00
10005,22500.00,1012.50,337.50,100.00
10006,22500.00,1012.50,337.50,100.00
10007,24000.00,1080.00,360.00,100.00
10008,24000.00,1080.00,360.00,100.00
10009,22500.00,1012.50,337.50,100.00
10010,22500.00,1012.50,337.50,100.00
10011,38475.00,1125.00,577.13,100.00
10012,41850.00,1125.00,627.75,100.00
10013,63500.00,1125.00,900.00,100.00
10014,23250.00,1057.50,348.75,100.00
10015,23250.00,1057.50,348.75,100.00
10016,24000.00,1080.00,360.00,100.00
10017,22500.00,1012.50,337.50,100.00
10018,22500.00,1012.50,337.50,100.00
10019,24000.00,1080.00,360.00,100.00
10020,24750.00,1125.00,371.25,100.00
10021,24750.00,1125.00,371.25,100.00
10022,24000.00,1080.00,360.00,100.00
10023,22500.00,1012.50,337.50,100.00
10024,22500.00,1012.50,337.50,100.00
10025,22500.00,1012.50,337.50,100.00
